TOA5,FRP2-2,CR3000,DataWeather,,,,,,,,,,,,,
TIMESTAMP,RECORD,Diffuse_BW_Avg,DirNormRad_Avg,GlobalRad_SPP_Avg,GlobalRad_LI_Avg,LiCor_S_wind_Avg,HorizIR_Avg,Diffuse_BW_mV_Avg,T_out_Avg,RH_out_Avg,BP_PSI_Avg,Rain_in_Tot,WS_mph_S_WVT,WindDir_D1_WVT,WindDir_SD1_WVT,DP_out_Avg
TS,RN,W/m??,W/m??,W/m??,W/m??,W/m??,W/m??,mV,Deg F,%,psi,inch,mph,Deg,Deg,degF
,,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Tot,WVc,WVc,WVc,Avg
8/10/17,0:00,0,0.3705883,-1.459454,0,3716.079,409.4019,0,70.71,95.4,14.38,0.0,0.691,346.2608218485498,"",69.36
8/10/17,1:00,0,0.2647115,-2.617007,0,3342.218,373.3794,0,69.48,96.5,14.38,0.0,0,4.3340245171996,"",68.47
8/10/17,2:00,0,0.476487,-0.5032776,0,3560.648,407.735,0,68.76,97,14.37,0.0,0,0.0,"",67.9
8/10/17,3:00,0.04605586,0.4764939,0.553613,0,4235.242,414.8901,0,69.66,97,14.37,0.0,0,23.88810048549229,"",68.78
8/10/17,4:00,0.09211213,0.4235524,0.4026299,0,3984.211,417.9142,0.001,69.92,96.4,14.37,0.0,0,353.9428783241994,"",68.88
8/10/17,5:00,0.04605638,0.4764996,0.05032907,0,3728.336,418.0736,0,70.24,95.5,14.36,0.0,0.721,331.46390254828947,"",68.93
8/10/17,6:00,2.671267,0.4764991,2.113818,1.838016,3957.498,415.6384,0.024,70.33,94.2,14.37,0.0,0.595,304.4571831744515,"",68.62
8/10/17,7:00,43.43166,0.8471201,38.65317,39.68493,3623.861,419.4246,0.394,70.67,95.1,14.37,0.01,0,298.9381985439089,"",69.21
8/10/17,8:00,110.3528,1.164795,100.3577,95.91257,3862.821,421.7079,1.001,71.42,93.9,14.38,0.01,0.305,252.7148655074531,"",69.62
8/10/17,9:00,141.3021,1.429511,131.2593,123.6495,3669.215,423.8851,1.282,71.38,96.1,7.191,0.21000000000000005,1.214,235.7778790830253,"",70.23
8/10/17,10:01,315.6682,4.447298,290.0947,273.1108,3738.92,423.6753,2.863,73.8,85.8,14.38,0.0,3.397,214.74705399742788,"",69.32
8/10/17,11:01,121.0837,0.8471208,107.4539,108.4444,3929.981,426.035,1.098,74.3,86.4,14.38,0.0,1.366,233.07445248776935,"",70.02
8/10/17,12:01,100.6371,0.3706251,89.7402,88.72955,3782.285,429.6532,0.913,75.55,84.7,14.38,0.0,0,245.03262395767672,"",70.63
8/10/17,13:01,719.0251,45.26994,737.965,686.4534,4140.025,431.6439,6.522,77.48,79.19,14.38,0.0,0.37,213.28137227087348,"",70.56
8/10/17,14:01,585.0346,24.30258,587.6186,539.984,4385.041,423.7233,5.306,78.22,77,14.37,0.0,0.885,219.2178977862004,"",70.45
8/10/17,15:01,490.981,141.4203,585.7537,531.9608,3553.117,425.5012,4.453,81.4,69.22,14.36,0.0,2.004,211.69473311930133,"",70.4
