TOA5,FRP2-2,CR3000,DataWeather,,,,,,,,,,,,,
TIMESTAMP,RECORD,Diffuse_BW_Avg,DirNormRad_Avg,GlobalRad_SPP_Avg,GlobalRad_LI_Avg,LiCor_S_wind_Avg,HorizIR_Avg,Diffuse_BW_mV_Avg,T_out_Avg,RH_out_Avg,BP_PSI_Avg,Rain_in_Tot,WS_mph_S_WVT,WindDir_D1_WVT,WindDir_SD1_WVT,DP_out_Avg
TS,RN,W/m??,W/m??,W/m??,W/m??,W/m??,W/m??,mV,Deg F,%,psi,inch,mph,Deg,Deg,degF
,,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Tot,WVc,WVc,WVc,Avg
8/1/17,1:01,0.00537298,0.328242108,-3.0993043,0,3667.777283,345.1105983,0,64.83,89.9,14.34033333,0,0,0,,61.82
8/1/17,2:01,-0.001535177,0.340600465,-2.039953267,-0.004177215,3613.744233,345.9628933,0,64.06,92.4,14.34983333,0,0.055016667,57.81761761,,61.83
8/1/17,3:01,2.17E-09,0.381195607,-1.330350417,-22.38630509,3665.739667,354.348445,0,64.08,92.9,14.34,0,0.02335,15.7634175,,62.01
8/1/17,4:01,-0.001535251,0.375906062,-0.740678188,-22.6215531,3719.878167,369.88392,-1.67E-05,63.69,94.1,14.34,0,0.082516667,59.77509357,,62
8/1/17,5:01,-0.016887502,0.36355464,-0.694546618,0.178232275,3705.1464,377.7340083,-8.33E-05,63.63,94.7,14.34,0,0.168333333,32.80460538,,62.1
8/1/17,6:01,-0.011514331,0.346793722,-0.761664116,-0.006962361,3641.1642,379.19485,-5.00E-05,63.24,95.8,14.34016667,0,0.068116667,51.01120292,,62.04
8/1/17,7:01,2.378115171,0.367973888,1.83790582,1.998207627,3673.276517,381.0812917,0.021633333,62.92,96,14.35016667,0,0.0803,349.1412107,,61.79
8/1/17,8:01,62.99116317,49.6829291,67.50030433,70.15340367,3814.74405,390.6689783,0.571316667,66.38,91.1,14.36,0,0.046866667,53.33750342,,63.72
8/1/17,9:01,128.899115,74.5832994,136.8199458,124.4846077,3833.951233,402.981625,1.1691,69.08,86.8,14.36,0,0.06375,235.058109,,65.01
8/1/17,10:01,261.4046933,74.83041802,281.1936717,276.3276767,3903.980583,398.3089367,2.370883333,72.92,76.76,14.36,0,0.187,110.2619601,,65.23
8/1/17,11:01,356.3552783,244.6256025,513.832635,494.8632017,3923.556933,386.73611,3.232116667,78.3,69.08,14.36,0,0.822983333,60.50433037,,67.36
8/1/17,12:01,346.7603217,27.67585375,337.7438283,320.7828883,3757.877717,400.0353467,3.145083333,77.78,65.4,14.36,0,0.949316667,222.7409813,,65.28
8/1/17,13:01,350.5108283,10.37376277,326.8744983,336.2602567,3790.553383,403.0282167,3.179083333,79.23,68.53,14.36,0,0.820016667,256.5583413,,68.02
8/1/17,14:01,440.529345,56.08167538,462.8604717,459.7138717,3831.405783,406.7481933,3.995616667,79.8,66.57,14.35983333,0,0.782533333,264.9250907,,67.71
